year_month,year,revenue,profit,margin,orders,avg_discount
2023-01-01,2023,14518.055,2539.3906999999995,0.17491259676313387,33,0.11904761904761904
2023-02-01,2023,4519.892,862.3084,0.19078075316843854,28,0.17608695652173914
2023-03-01,2023,56933.909,693.4498999999976,0.012179910218355069,72,0.16666666666666666
2023-04-01,2023,28295.344999999998,3488.8352,0.12330067719619606,66,0.11
2023-05-01,2023,26319.767,3196.3918,0.121444532544684,72,0.14886363636363636
2023-06-01,2023,34669.4796,4999.759399999999,0.14421212714136036,67,0.17220588235294118
2023-07-01,2023,33946.393,-841.4826000000024,-0.024788571793179986,65,0.17167832167832167
2023-08-01,2023,28918.3385,5765.2249999999995,0.19936224897568022,75,0.1268987341772152
2023-09-01,2023,82670.4288,8593.630199999996,0.10395047327975147,134,0.15776556776556777
2023-10-01,2023,32413.339,3469.174899999999,0.10702923571064367,81,0.15625
2023-11-01,2023,78826.9567,9362.955699999999,0.11877860178762932,152,0.15021875
2023-12-01,2023,72008.3085,9554.657099999999,0.13268825916109386,150,0.18501683501683502
2024-01-01,2024,18461.9156,-3189.803000000001,-0.17277746627765977,31,0.16125
2024-02-01,2024,11951.411,2813.8507999999997,0.23544088643591954,36,0.1296875
2024-03-01,2024,39978.628,9930.613399999998,0.24839805408029508,81,0.13858156028368795
2024-04-01,2024,34195.2085,4187.496199999999,0.12245856608828685,72,0.1759375
2024-05-01,2024,30246.946500000002,4677.136999999999,0.15463170803042875,75,0.16566666666666668
2024-06-01,2024,24797.292,3335.5571999999997,0.13451296214118863,68,0.17246376811594202
2024-07-01,2024,28765.325,3288.648299999999,0.11432682578764533,66,0.17035714285714287
2024-08-01,2024,37057.0042,5371.6273999999985,0.1449557921900227,69,0.15722222222222224
2024-09-01,2024,64627.046,8220.025099999999,0.127191719392528,142,0.14067796610169492
2024-10-01,2024,31407.1335,2817.9659999999994,0.08972375654721879,88,0.16137724550898205
2024-11-01,2024,75972.5635,12474.788399999998,0.16420123035600867,158,0.16231481481481483
2024-12-01,2024,75532.5572,8093.062699999998,0.10714667952483936,167,0.1386769230769231
2025-01-01,2025,18830.331000000002,2916.0233,0.15485778237249254,50,0.12421052631578948
2025-02-01,2025,22978.815000000002,5004.579499999999,0.2177910175089533,45,0.0963855421686747
2025-03-01,2025,53031.069,3707.8861999999986,0.06991912985951684,88,0.19289156626506024
2025-04-01,2025,38829.159,2991.6608999999985,0.07704676014229406,90,0.156140350877193
2025-05-01,2025,57042.837999999996,8676.696399999999,0.15210842770480668,109,0.18427947598253275
2025-06-01,2025,40937.148,4926.3193999999985,0.12033860785807547,100,0.13951219512195123
2025-07-01,2025,40300.499,4559.882699999999,0.11314705309232025,97,0.1602439024390244
2025-08-01,2025,31716.814300000002,2317.4992999999995,0.07306847648945623,91,0.18251396648044693
2025-09-01,2025,73521.6629,9370.103099999997,0.12744683308842839,195,0.1487431693989071
2025-10-01,2025,59831.001,16256.842199999997,0.27171268954701255,107,0.14698492462311558
2025-11-01,2025,79411.9658,4011.4074999999975,0.05051389245422756,183,0.15762162162162163
2025-12-01,2025,97502.277,17926.3013,0.18385520678660663,185,0.13707650273224045
2026-01-01,2026,44259.214,7231.639099999999,0.1633928496787132,71,0.15527950310559008
2026-02-01,2026,20301.1334,1613.871999999999,0.07949664524641757,53,0.18196261682242992
2026-03-01,2026,60728.4808,15013.090999999999,0.24721664040046262,121,0.13240816326530613
2026-04-01,2026,36779.0361,957.5299999999977,0.026034668157059116,117,0.1944607843137255
2026-05-01,2026,45155.4822,6299.807199999998,0.1395136734914548,121,0.15097165991902833
2026-06-01,2026,53056.0777,8246.570699999998,0.15543121650698272,134,0.17203252032520325
2026-07-01,2026,45989.496,7006.5012,0.15235003227693558,112,0.14543478260869566
2026-08-01,2026,64129.758,9488.072199999999,0.14795116176798917,114,0.14035874439461885
2026-09-01,2026,88064.532,11050.8024,0.1254852793630925,231,0.14591397849462365
2026-10-01,2026,83474.7832,10670.531199999998,0.1278293969860828,151,0.17611650485436894
2026-11-01,2026,118454.505,9692.103699999998,0.08182131781311312,262,0.1606304347826087
2026-12-01,2026,85175.0328,8655.826899999998,0.10162399256510762,236,0.14526970954356846
